,index,제출년도,사업명,사업_부처명,계속과제여부,내역사업명,과제명,요약문_연구목표,요약문_연구내용,요약문_기대효과,요약문_한글키워드,요약문_영문키워드,label
0,0,,,,,,"핵분열 에너지를 이용하여 전기를 생산 하는 설비인 원자력발전소를 개량하여 안정성․경제성․환경친화성을 가진 원전을 설계 및 건설, 운영하는 기술",,,,"소듐냉각고속로, 초고온가스로, 핵융합로, 납냉각고속로, 가속기 구동 미임계로, 차세대경수로, 사용 후 핵연료, 순환핵연료주기, 고준위(방사성) 폐기물, 원전 해체(폐로), 파이로 공정, 금속연료, 장수명핵종 변환, 초우란원소, 최종처분, 중간저장","SFR(Sodium-cooled Fast Reactor), VHTR(Very High Temperature Reactor), Nuclear Fusion Reactor, LFR(Lead-cooled Fast Reactor),ADS, Advanced PWR(Pressurized Water Reactor), SF(Spent Fuel, Used Nuclear Fuel), Advanced nuclear recycle system, High level(radioactive) waste, Decommissioning, Pyro-processing, Metal fuel, Transmutation of long-lived Radionuclide, Transuranic element, Final disposal, Interim storage.",1
1,1,,,,,,중수소-삼중수소의 고온 플라즈마 상태에서 일어나는 핵융합반응 제어를 통해 중성자의 에너지를 안전하고 효과적으로 열에너지 등의 형태로 회수하여 전력 혹은 수소를 생산하는 기술 및 고에너지 중성자를 활용하는 기술,,,,"블랑켓, 삼중수소 연료주기, 저방사화 재료, 동력변환","Blanket, Tritium fuel cycle, Low activation material, Power conversion",2
2,2,,,,,,"바이오매스 혼소 등을 통한 연료 다변화, 기존 화력발전 대비 고효율화, 화석연료 청정화, CO2 재순환 등을 통한 CO2 저감을 달성할 수 있는 고효율 청정 화석 연료 기술",,,,"고효율발전, 초초임계발전, 가스복합발전, 유동층발전, 가스화연료전지기술, 바이오매스혼소, 순산소연소발전, 고효율가스터빈, 청정석탄기술","High efficiency generation, Ultrasupercritical (USC) generation, Integrated Gasification Combined Cycle (IGCC), Fluidized Bed Combustion (FBC), Integrated Gasification Fuel Cell (IGFC), Biomass co-firing, Oxy-fuel ombustion, High efficiency gas turbine, Clean Coal Technology (CCT)",3
3,3,,,,,,"댐, 강 또는 하천 등에서 물이 가지는 위치에너지를 활용하여 에너지를 변환하는 제반 기술",,,,"수력, 수차, 발전기, 소수력, 출력","Hydropower, Runner, Generator, Small hydro power",4
4,4,,,,,,"태양광발전시스템 (태양전지, 모듈, 축전지 및 전력조절기, 직 교류 변환장치로 구성)을 이용하여 태양 빛 에너지를 직접 전기에너지로 변환시키는 기술",,,,"태양전지, 모듈, 인버터, 실리콘 태양전지, 비실리콘 태양전지, 고효율","Solar cell, Module, Inverter, c-Si solar cell, Compound solar cell, Organic solar cell, High efficiency",5
5,5,,,,,,"핵분열 에너지를 이용하여 전기를 생산 하는 설비인 원자력발전소를 개량하여 안정성․경제성․환경친화성을 가진 원전을 설계 및 건설, 운영하는 기술",,,,"소듐냉각고속로, 초고온가스로, 핵융합로, 납냉각고속로, 가속기 구동 미임계로, 차세대경수로, 사용 후 핵연료, 순환핵연료주기, 고준위(방사성) 폐기물, 원전 해체(폐로), 파이로 공정, 금속연료, 장수명핵종 변환, 초우란원소, 최종처분, 중간저장","SFR(Sodium-cooled Fast Reactor), VHTR(Very High Temperature Reactor), Nuclear Fusion Reactor, LFR(Lead-cooled Fast Reactor),ADS, Advanced PWR(Pressurized Water Reactor), SF(Spent Fuel, Used Nuclear Fuel), Advanced nuclear recycle system, High level(radioactive) waste, Decommissioning, Pyro-processing, Metal fuel, Transmutation of long-lived Radionuclide, Transuranic element, Final disposal, Interim storage.",6
6,6,,,,,,"물, 지하수 및 지하의 열 또는 온도차 등을 이용하여 전기 또는 열을 생산하는 기술",,,,"지열, 지열에너지, 지열발전, 지열직접이용, 심부지열, 지열 냉난방, 지열원 열펌프, 인공 지열저류층 생성기술, 열수자원, 지하 열에너지 저장","Geothermal, Geothermal energy, Geothermal power generation, Geothermal direct-use, Deep geothermal, Geothermal heating and cooling, Geothermal (ground-source) heat pump, Enhanced geothermal system (EGS), Hydrothermal resources, Underground thermal energy storage (UTES)",7
7,7,,,,,,"바람의 운동에너지를 로터 블레이드에서 흡수, 기계적 에너지로 변환하여 전력을 생산하는 발전기술",,,,"풍력터빈, 풍력발전단지, 육상풍력발전, 해상풍력발전, 부유식풍력발전, 바람자원평가, 바람자원측정, 블레이드, 타워, 기어박스, 발전기, 나셀, 드라이브트레인, 인증, 설계평가, 출력곡선, 출력효율, 실증시험, 실증단지, 저 풍속 형 풍력터빈, 대형풍력터빈, 소형풍력터빈, 수평축 풍력터빈, 수직축풍력터빈, 제어기, 해저케이블, 육상변전소, 해상변전소, 유지보수, 균등화발전단가, 경제성평가, 사업타당성검토","Wind turbine, Wind farm, On-shore wind power generation, Off-shore wind power generation, Floating wind power generation, Wind resource assessment, Wind resource measurement, Blade, Tower, Gearbox, enerator, Nacelle, Drive-train, Certification, Design assessment, Power curve, Power coefficient, Field test, Test bed, Low speed wind turbine, Large wind turbine, Small wind turbine, Horizontal wind turbine, Axial wind turbine, Controller, Offshore cable, On-shore power station, Off-shore power station, Maintenance, Levelized cost of energy, Economic analysis, Project feasibility study",8
8,8,,,,,,"조류, 조력, 파력, 해수온도차, 해수염도차, 해류 등 이산화탄소를 배출하지 않는 해양의 클린에너지를 실용화하기 위한 관련 기술",,,,"조류발전, 조력발전, 파력발전, 해수온도차발전, 해수냉난방, 해수염도차발전","Tidal current power, Tidal barrage power, Wave power, Seawater cooling/heating, OTEC(Ocean Thermal Energy Convention), Salinity gradient power",9
9,9,,,,,,"동물, 식물, 또는 파생자원(바이오매스) 및 해양 바이오매스로부터 열화학적 또는 생물학적 전환 기술을 적용하여 화석에너지를 대체할 수 있는 대체 에너지원 기술",,,,"바이오매스, 바이오에너지, 바이오연료, 바이오알코올, 바이오에탄올, 바이오부탄올, 바이오가스, 바이오메탄, 바이오수소, 바이오리파이너리, 바이오디젤, 바이오고탄소연료, 바이오고형연료, 우드칩, 우드팰릿, 전처리, 당화, 리그닌, 리그노셀룰로오스","Biomass, Bioenergy, Biofuel, Bioalcohol, Bioethanol, Biobutanol, Biogas, Biomethane, Bio-hydrogen, Biorefinery, Biodiesel, Bio-jet fuel, Wood chip, Wood pellet, Pretreatment, Saccharification, Lignin, Lignocellulos",10
